,zon,zon_ef,mer,mer_perp,mer_parl,N,nui,R,F,E,ratio,hem,ge,K,dn
270,84.46411776224724,59.546899743436086,57.491180476910486,-4.572087969645545,24.553345443618554,1.6259397554147392e+17,1.0103399733688336,0.0006049445687313111,13.798374307104709,0.3709506531638315,0.9738201605084227,south,9.029351685120096,2.638762229504576e-05,2013-12-25 00:40:00
280,86.64034006072839,61.328918062515,58.14193899132862,-4.8161141084736006,24.32438516555331,2.074757285000876e+17,0.8474132690890956,0.00047409096110140266,14.818250707480857,0.3936893694466751,0.9741197133662263,south,9.002249145482297,2.3298966378196117e-05,2013-12-25 00:40:00
290,88.201769854985,62.876562444014276,57.992762156219925,-4.740588884166015,23.689829124961694,2.57380416723174e+17,0.7145082351205723,0.00037608699532038316,15.553176246263297,0.3572767137760027,0.977544529079509,south,8.975268449602138,2.027835350413273e-05,2013-12-25 00:40:00
300,89.86172333604156,64.0033768176999,59.00157920365545,-5.168233677660665,23.885184380263503,3.0953401591559936e+17,0.6116858066529556,0.00030446438336037855,16.078511035531882,0.37433425087870087,0.9772480537948116,south,8.948408868215399,1.7811223790100837e-05,2013-12-25 00:40:00
310,90.6510073039328,64.54582608739707,59.40891510886827,-5.47331471035962,23.862408492241233,3.648480499981157e+17,0.5299543211860657,0.00025372275161370775,16.495225285857405,0.33831671814764125,0.9799022262773248,south,8.921669677505726,1.5791992083184035e-05,2013-12-25 00:40:00
320,91.9448408845406,65.39364383610396,60.21842431533289,-5.867489458885879,23.986067350070297,4.214877571483937e+17,0.463064608869141,0.00021329005909670346,17.298039877052556,0.3520217825752571,0.9800554927589595,south,8.895050159055883,1.3695060805807341e-05,2013-12-25 00:40:00
330,92.66452421201258,66.05151601211205,60.276902507907934,-5.900344670278971,23.785246370329745,4.765248994806268e+17,0.40657726638840064,0.00018163986951896672,17.47119072435552,0.30346209714435546,0.9829272560093386,south,8.868549599799476,1.2018101723750197e-05,2013-12-25 00:40:00
340,93.14330883669292,66.18496366585539,60.955650774927754,-6.308497640967524,24.070584158748545,5.3176238284531923e+17,0.3619533637143117,0.0001581864757114929,17.662615621526957,0.3112851275943938,0.9826812703631063,south,8.842167291973231,1.079574184748421e-05,2013-12-25 00:40:00
350,93.69576986557757,66.23369557611674,61.98471466536367,-6.860452106365286,24.587620378914377,5.865921520043782e+17,0.3243900014148075,0.00013862836119138026,17.70656405871188,0.32063701819011303,0.9822137104466572,south,8.815902533069698,9.183940132747723e-06,2013-12-25 00:40:00
360,94.40437023505046,66.70468596072168,62.48433537187207,-7.015837683385543,24.753885827498614,6.343068444904315e+17,0.2911960466086298,0.00012138017824604965,17.341668454869595,0.33249050973699124,0.9811877605942766,south,8.789754625790525,8.191151282741923e-06,2013-12-25 00:40:00
370,93.7647888502831,65.82113433321986,62.953687143412026,-7.551177478963431,25.14237862321029,6.848447545932827e+17,0.2666445896029995,0.00011194744119483386,17.321344113845104,0.2683920925383693,0.9847415510164974,south,8.763722878000134,7.4731120540477536e-06,2013-12-25 00:40:00
380,93.70792534379098,65.3663424653762,63.80138975726904,-8.09853733981473,25.699374616541192,7.305966915460443e+17,0.24456941632999246,0.00010211830512903165,17.107843314144695,0.275349312116901,0.9841600264095953,south,8.737806602679962,6.207694953356849e-06,2013-12-25 00:40:00
390,93.97770196456368,65.33809131703565,64.44667971655879,-8.398487178932822,26.07513829698262,7.690964087023406e+17,0.22498436513470202,9.308161534712446e-05,16.697045158180686,0.2834850747195236,0.98330528724184,south,8.712005117883095,5.3242941219174e-06,2013-12-25 00:40:00
400,94.12540246732257,64.96929013434023,65.57019091278761,-9.022066641674082,26.7873574776301,8.056844483770259e+17,0.2086012688392096,8.550914779640165e-05,16.384213014716966,0.29288935269532257,0.9824376353731785,south,8.686317746689436,4.882633147816663e-06,2013-12-25 00:40:00
410,93.14807949901689,63.73564822933144,66.11344320215946,-9.648094427084615,27.319688840583208,8.40648406908102e+17,0.19655750477918696,8.21300888316185e-05,16.26133565890638,0.24810553838206867,0.9849718996895656,south,8.660743817161276,3.687533294341883e-06,2013-12-25 00:40:00
420,93.27966357027498,63.76622817609071,66.32734975986602,-9.766915870220394,27.422135807763055,8.603195643433116e+17,0.18553701574802606,7.787666667640261e-05,16.00520061191034,0.2544159357826964,0.9843528944833085,south,8.635282662299383,3.0398084707867535e-06,2013-12-25 00:40:00
430,93.09645827521504,63.088939680939724,67.4078024194754,-10.474007819199079,28.160630609892657,8.853354822943912e+17,0.17571509231965485,7.374645217119322e-05,15.858619140578197,0.2612767689796487,0.9837916590500604,south,8.609933619999481,2.8129657326045247e-06,2013-12-25 00:40:00
440,93.10079201141984,62.63587950808468,68.40416651937267,-11.092933878793007,28.795589439163045,9.023603771647828e+17,0.16747132650579202,7.017321263831038e-05,15.616072354587665,0.2687321924978462,0.9830824363182263,south,8.584696033009237,1.8701541686768304e-06,2013-12-25 00:40:00
450,93.27559088326782,62.47444099883005,69.16168253436997,-11.444275584741662,29.286235869854806,9.111816002283537e+17,0.1600147703687822,6.671109956666837e-05,15.249601949776501,0.27701841546385675,0.9821584859455943,south,8.559569248885623,1.4057312566940184e-06,2013-12-25 00:40:00
460,93.08841716168271,61.87250376843226,70.06684317478532,-12.069453125048708,29.89261529541657,9.199711753615895e+17,0.1538411738137349,6.403734403506626e-05,14.923844298701196,0.2852484059751601,0.9812448768960784,south,8.534552619952782,1.0066027249247583e-06,2013-12-25 00:40:00
470,93.14577325068296,61.71094289074373,70.54347148354415,-12.324286240814468,30.192689864531285,9.216614183138884e+17,0.14871652269989372,6.192194045994528e-05,14.575531022195975,0.29346541136641513,0.9802632670821009,south,8.50964550326026,8.277429192620924e-07,2013-12-25 00:40:00
480,91.1991754585448,59.786902349964805,70.51210705679311,-12.912550969190251,30.52874401775307,9.271373273052246e+17,0.14598374058559782,6.320568521996768e-05,14.673076612017073,0.24920684259091314,0.9832996844384457,south,8.484847260541722,7.039694146032699e-07,2013-12-25 00:40:00
490,90.74112807490032,58.93404796848384,71.4067170116901,-13.601330711508819,31.195132961393227,9.266297619626394e+17,0.14236777369471287,6.193322522601631e-05,14.418463531794247,0.25326620496291447,0.9827378087310042,south,8.460157258174037,8.505764784492926e-08,2013-12-25 00:40:00
